Enrollment ID,User ID,Course Name,User Level,Enrollment Date
1,29,Python Basics,Advanced,2020-03-10
2,337,Data Science,Intermediate,2020-10-01
3,533,Data Science,Advanced,2020-05-11
4,532,Data Science,Intermediate,2023-03-28
5,60,Data Science,Advanced,2020-09-09
6,253,AI for Everyone,Beginner,2020-04-16
7,105,Deep Learning,Advanced,2022-12-13
8,75,AI for Everyone,Intermediate,2022-05-18
9,97,Python Basics,Advanced,2022-11-26
10,106,Deep Learning,Advanced,2020-05-04
11,226,Python Basics,Beginner,2022-08-03
12,131,Machine Learning,Beginner,2022-07-08
13,515,Deep Learning,Advanced,2022-05-16
14,103,Deep Learning,Beginner,2021-04-28
15,157,AI for Everyone,Beginner,2020-09-15
16,869,AI for Everyone,Beginner,2022-11-15
17,379,AI for Everyone,Advanced,2020-03-24
18,352,Python Basics,Intermediate,2021-04-23
19,425,Data Science,Intermediate,2021-04-25
20,886,Deep Learning,Beginner,2022-12-02
21,762,Data Science,Intermediate,2023-12-06
22,154,AI for Everyone,Advanced,2021-12-20
23,388,Python Basics,Intermediate,2023-02-24
24,304,Python Basics,Intermediate,2021-01-05
25,504,Data Science,Advanced,2020-01-13
26,174,Machine Learning,Beginner,2020-01-15
27,483,Deep Learning,Advanced,2021-03-26
28,161,Python Basics,Intermediate,2022-02-16
29,994,Python Basics,Beginner,2020-06-13
30,796,AI for Everyone,Intermediate,2021-08-10
31,840,Machine Learning,Intermediate,2022-08-12
32,277,Data Science,Intermediate,2020-06-18
33,875,Machine Learning,Intermediate,2023-09-06
34,71,Python Basics,Intermediate,2023-03-27
35,913,Data Science,Intermediate,2020-11-22
36,982,Deep Learning,Beginner,2022-12-26
37,486,Deep Learning,Intermediate,2021-07-12
38,188,Python Basics,Advanced,2022-10-16
39,417,AI for Everyone,Beginner,2020-07-14
40,873,Machine Learning,Advanced,2021-11-21
41,58,Machine Learning,Advanced,2021-10-04
42,774,Machine Learning,Advanced,2022-07-03
43,378,Deep Learning,Intermediate,2022-10-13
44,171,AI for Everyone,Beginner,2020-11-05
45,991,Deep Learning,Beginner,2021-04-08
46,528,Deep Learning,Beginner,2020-08-25
47,821,Machine Learning,Intermediate,2020-09-13
48,19,Machine Learning,Intermediate,2023-04-02
49,466,Deep Learning,Advanced,2020-09-15
50,221,Python Basics,Beginner,2020-04-08
51,200,Machine Learning,Advanced,2022-05-08
52,290,Deep Learning,Beginner,2023-09-03
53,155,AI for Everyone,Beginner,2021-10-28
54,311,AI for Everyone,Advanced,2020-08-13
55,349,Python Basics,Advanced,2020-12-25
56,720,Data Science,Advanced,2021-10-05
57,643,Machine Learning,Intermediate,2023-09-24
58,648,Data Science,Intermediate,2022-04-09
59,936,Python Basics,Beginner,2022-01-27
60,878,Machine Learning,Advanced,2022-07-21
61,933,AI for Everyone,Intermediate,2021-12-24
62,825,Python Basics,Advanced,2023-03-01
63,321,Machine Learning,Advanced,2021-04-12
64,712,Python Basics,Beginner,2020-06-04
65,774,AI for Everyone,Intermediate,2021-04-19
66,85,Data Science,Advanced,2020-07-24
67,45,AI for Everyone,Advanced,2021-08-17
68,652,Python Basics,Intermediate,2022-06-13
69,985,Data Science,Advanced,2022-07-03
70,953,Python Basics,Intermediate,2021-11-10
71,479,Machine Learning,Beginner,2020-08-12
72,522,Machine Learning,Beginner,2020-06-26
73,207,AI for Everyone,Intermediate,2020-10-01
74,295,Machine Learning,Advanced,2023-03-01
75,506,Machine Learning,Beginner,2023-06-16
76,677,Data Science,Intermediate,2020-10-16
77,4,Deep Learning,Advanced,2023-06-27
78,464,Data Science,Advanced,2021-12-16
79,253,Machine Learning,Advanced,2021-01-26
80,656,Machine Learning,Advanced,2022-02-04
81,558,AI for Everyone,Intermediate,2023-11-08
82,920,Data Science,Beginner,2023-10-03
83,879,Deep Learning,Intermediate,2022-12-14
84,442,Python Basics,Intermediate,2023-06-10
85,39,Python Basics,Beginner,2021-10-01
86,776,Python Basics,Beginner,2021-10-21
87,451,Machine Learning,Advanced,2021-02-24
88,708,Machine Learning,Intermediate,2021-05-02
89,684,Data Science,Advanced,2021-08-27
90,725,Data Science,Beginner,2020-02-25
91,920,Python Basics,Intermediate,2021-11-08
92,400,Machine Learning,Beginner,2020-04-18
93,117,Machine Learning,Advanced,2022-11-17
94,299,Machine Learning,Advanced,2021-01-04
95,135,Data Science,Advanced,2022-03-27
96,423,Python Basics,Intermediate,2022-12-01
97,736,Data Science,Advanced,2023-01-21
98,863,Data Science,Beginner,2020-03-15
99,48,Machine Learning,Intermediate,2023-10-14
100,525,Deep Learning,Beginner,2021-02-08
101,682,AI for Everyone,Intermediate,2022-06-13
102,349,Machine Learning,Intermediate,2021-08-05
103,860,Data Science,Advanced,2023-11-15
104,371,AI for Everyone,Advanced,2020-07-25
105,661,AI for Everyone,Advanced,2020-05-10
106,822,Data Science,Beginner,2020-07-17
107,540,AI for Everyone,Advanced,2021-06-13
108,145,Data Science,Advanced,2020-02-02
109,724,Data Science,Intermediate,2023-02-19
110,723,Deep Learning,Intermediate,2023-05-12
111,870,Python Basics,Beginner,2022-05-24
112,502,AI for Everyone,Intermediate,2020-09-07
113,982,AI for Everyone,Intermediate,2022-03-12
114,44,AI for Everyone,Advanced,2021-07-23
115,406,Python Basics,Intermediate,2022-02-03
116,886,Data Science,Advanced,2020-04-25
117,465,Machine Learning,Advanced,2021-10-05
118,446,Deep Learning,Advanced,2020-04-10
119,357,Deep Learning,Advanced,2022-02-05
120,835,Data Science,Advanced,2023-04-03
121,542,Deep Learning,Beginner,2023-04-02
122,350,Data Science,Intermediate,2022-04-18
123,994,Machine Learning,Advanced,2022-10-19
124,474,Machine Learning,Beginner,2023-02-20
125,282,Data Science,Beginner,2021-03-28
126,761,AI for Everyone,Advanced,2020-05-08
127,957,Machine Learning,Beginner,2022-11-07
128,135,AI for Everyone,Advanced,2020-10-15
129,811,Python Basics,Advanced,2022-04-14
130,37,Data Science,Intermediate,2020-06-26
131,137,Python Basics,Advanced,2020-07-09
132,108,AI for Everyone,Intermediate,2021-07-23
133,28,AI for Everyone,Beginner,2022-12-23
134,685,Machine Learning,Beginner,2022-07-02
135,235,AI for Everyone,Beginner,2022-11-18
136,450,Python Basics,Beginner,2023-11-09
137,421,Python Basics,Advanced,2020-04-24
138,32,Data Science,Advanced,2023-08-19
139,97,Data Science,Advanced,2022-03-07
140,296,Machine Learning,Advanced,2021-09-10
141,978,Python Basics,Intermediate,2023-10-01
142,807,Deep Learning,Advanced,2022-08-03
143,367,Deep Learning,Advanced,2022-10-21
144,260,Deep Learning,Advanced,2020-12-09
145,736,Python Basics,Advanced,2021-01-09
146,936,Deep Learning,Beginner,2020-06-01
147,944,Data Science,Beginner,2023-08-21
148,778,Machine Learning,Advanced,2020-09-27
149,50,AI for Everyone,Intermediate,2021-02-13
150,20,Python Basics,Beginner,2022-01-02
151,673,AI for Everyone,Advanced,2023-08-04
152,75,Deep Learning,Beginner,2021-08-23
153,583,Machine Learning,Beginner,2023-04-12
154,350,Machine Learning,Beginner,2023-09-01
155,165,Machine Learning,Intermediate,2023-11-06
156,590,Deep Learning,Intermediate,2023-06-12
157,877,Deep Learning,Advanced,2020-08-02
158,223,Data Science,Advanced,2022-09-11
159,584,Machine Learning,Beginner,2020-11-15
160,474,Python Basics,Beginner,2021-08-21
161,101,Deep Learning,Intermediate,2022-04-09
162,115,AI for Everyone,Intermediate,2021-06-22
163,300,Python Basics,Intermediate,2023-03-10
164,292,Machine Learning,Intermediate,2023-03-09
165,753,Data Science,Intermediate,2021-06-04
166,495,AI for Everyone,Beginner,2020-06-01
167,987,Python Basics,Beginner,2023-02-02
168,519,Machine Learning,Intermediate,2021-02-08
169,490,Python Basics,Beginner,2022-03-24
170,840,Machine Learning,Beginner,2023-05-16
171,315,Python Basics,Advanced,2020-06-28
172,186,Deep Learning,Advanced,2023-10-04
173,766,Data Science,Advanced,2023-12-25
174,564,Python Basics,Advanced,2023-04-17
175,943,Deep Learning,Intermediate,2021-04-28
176,522,Python Basics,Advanced,2021-01-04
177,939,Python Basics,Intermediate,2023-10-10
178,326,Deep Learning,Beginner,2021-08-13
179,640,Machine Learning,Beginner,2023-06-21
180,383,AI for Everyone,Intermediate,2020-04-03
181,137,Deep Learning,Intermediate,2023-06-03
182,140,Python Basics,Intermediate,2023-02-07
183,78,Python Basics,Intermediate,2023-05-16
184,767,Data Science,Advanced,2023-06-23
185,906,Python Basics,Advanced,2023-04-26
186,92,Python Basics,Intermediate,2023-05-01
187,695,Deep Learning,Advanced,2020-07-16
188,411,AI for Everyone,Beginner,2023-12-01
189,695,Deep Learning,Intermediate,2020-05-19
190,522,Data Science,Beginner,2021-06-07
191,121,AI for Everyone,Advanced,2020-07-19
192,162,Data Science,Beginner,2020-12-26
193,493,Python Basics,Advanced,2023-06-21
194,674,Machine Learning,Advanced,2020-03-04
195,555,Data Science,Intermediate,2023-01-10
196,730,Deep Learning,Beginner,2022-04-02
197,701,Deep Learning,Beginner,2020-09-16
198,389,Deep Learning,Advanced,2021-12-27
199,630,Data Science,Beginner,2022-12-10
200,311,Machine Learning,Beginner,2022-01-16
201,46,Data Science,Beginner,2020-09-06
202,6,Deep Learning,Advanced,2021-07-04
203,904,AI for Everyone,Advanced,2023-08-24
204,595,AI for Everyone,Intermediate,2021-07-20
205,129,Deep Learning,Advanced,2023-07-23
206,274,Deep Learning,Advanced,2020-07-13
207,789,Machine Learning,Intermediate,2020-02-27
208,558,AI for Everyone,Advanced,2021-02-19
209,814,AI for Everyone,Intermediate,2023-06-06
210,823,Data Science,Intermediate,2022-01-25
211,961,Data Science,Advanced,2023-12-12
212,740,Data Science,Beginner,2020-12-08
213,675,Data Science,Intermediate,2022-11-04
214,482,Deep Learning,Beginner,2020-06-09
215,955,Deep Learning,Beginner,2022-03-27
216,533,Data Science,Advanced,2021-06-01
217,15,Python Basics,Advanced,2023-11-25
218,234,Deep Learning,Advanced,2022-03-16
219,322,Data Science,Advanced,2022-01-19
220,323,Python Basics,Advanced,2023-09-15
221,862,Machine Learning,Beginner,2023-03-28
222,632,Deep Learning,Beginner,2021-02-01
223,761,Data Science,Beginner,2023-11-05
224,837,Deep Learning,Intermediate,2020-08-17
225,740,Data Science,Beginner,2022-10-25
226,592,Data Science,Advanced,2022-01-27
227,909,Deep Learning,Advanced,2022-05-15
228,985,Machine Learning,Beginner,2020-11-14
229,493,AI for Everyone,Intermediate,2023-06-09
230,914,Machine Learning,Advanced,2021-01-14
231,248,Deep Learning,Advanced,2020-05-25
232,309,Data Science,Intermediate,2020-11-09
233,541,Python Basics,Advanced,2021-07-25
234,585,AI for Everyone,Advanced,2023-10-06
235,379,AI for Everyone,Advanced,2022-08-03
236,699,AI for Everyone,Intermediate,2020-02-16
237,574,Machine Learning,Intermediate,2021-08-04
238,411,Data Science,Intermediate,2020-02-02
239,375,Machine Learning,Beginner,2022-02-27
240,807,AI for Everyone,Advanced,2021-07-02
241,563,Deep Learning,Advanced,2020-10-14
242,354,Deep Learning,Advanced,2023-10-18
243,689,Data Science,Intermediate,2023-07-17
244,144,AI for Everyone,Beginner,2021-07-06
245,347,AI for Everyone,Advanced,2022-12-09
246,576,AI for Everyone,Advanced,2020-08-13
247,94,Python Basics,Beginner,2023-07-11
248,566,Python Basics,Advanced,2021-01-07
249,405,Data Science,Advanced,2020-12-01
250,309,Deep Learning,Intermediate,2023-04-14
251,631,Machine Learning,Beginner,2023-10-26
252,883,Data Science,Intermediate,2020-03-04
253,633,Machine Learning,Advanced,2020-10-13
254,256,AI for Everyone,Advanced,2021-01-04
255,426,AI for Everyone,Intermediate,2023-12-19
256,820,AI for Everyone,Advanced,2021-08-17
257,852,Machine Learning,Intermediate,2021-07-08
258,577,Python Basics,Intermediate,2023-08-21
259,146,Data Science,Beginner,2021-02-22
260,859,Deep Learning,Advanced,2023-10-26
261,29,Data Science,Advanced,2023-04-14
262,896,Data Science,Intermediate,2023-11-08
263,214,Data Science,Beginner,2023-04-11
264,908,Machine Learning,Intermediate,2022-10-14
265,439,Machine Learning,Intermediate,2023-03-15
266,941,Machine Learning,Beginner,2020-05-07
267,237,Data Science,Advanced,2022-11-26
268,192,Machine Learning,Beginner,2020-07-21
269,402,Machine Learning,Intermediate,2023-08-04
270,223,Python Basics,Advanced,2023-07-24
271,501,Data Science,Beginner,2021-03-10
272,16,Python Basics,Advanced,2022-09-01
273,47,Machine Learning,Beginner,2021-01-07
274,355,AI for Everyone,Advanced,2022-02-07
275,165,Deep Learning,Intermediate,2023-03-18
276,786,Data Science,Beginner,2020-09-13
277,84,Machine Learning,Intermediate,2020-11-19
278,272,Deep Learning,Advanced,2020-03-23
279,714,Python Basics,Intermediate,2023-12-13
280,11,Data Science,Advanced,2022-03-09
281,202,AI for Everyone,Beginner,2021-10-19
282,565,Data Science,Intermediate,2021-09-27
283,17,Data Science,Beginner,2020-01-23
284,176,Machine Learning,Beginner,2021-10-05
285,990,Data Science,Advanced,2022-02-03
286,394,AI for Everyone,Advanced,2020-01-05
287,610,Python Basics,Intermediate,2023-12-11
288,532,Deep Learning,Beginner,2021-05-18
289,77,Python Basics,Intermediate,2021-03-14
290,190,Data Science,Beginner,2023-11-10
291,997,Python Basics,Beginner,2021-05-17
292,1000,Deep Learning,Intermediate,2021-09-07
293,370,Data Science,Beginner,2021-12-27
294,965,Data Science,Advanced,2020-12-26
